/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag,/out2 X,/out2 YRe,/out2 YReImag
526666666.6666673,-7.975907909619019e-05,-2.141877113136638e-05,526666666.6666673,-1.073140454326656e-07,-2.902306271612929e-07,526666666.6666673,0.005,0,526666666.6666673,1.195842863328973e-10,-2.156009862764773e-10
533333333.333334,-7.875964801268905e-05,-1.94104325123694e-05,533333333.333334,-1.153978894031906e-07,-2.805054425957069e-07,533333333.333334,0.005,0,533333333.333334,1.042703634542652e-10,-2.145595970580448e-10
540000000.0000006,-7.774837329759934e-05,-1.74742722743105e-05,540000000.0000006,-1.228580914644187e-07,-2.708064503771724e-07,540000000.0000006,0.005,0,540000000.0000006,8.97111187738505e-11,-2.12737679881188e-10
546666666.6666672,-7.672714570577901e-05,-1.560790840886697e-05,546666666.6666672,-1.297248456282125e-07,-2.611564748158725e-07,546666666.6666672,0.005,0,546666666.6666672,7.590717744004112e-11,-2.102223982066663e-10
553333333.3333338,-7.569771843966436e-05,-1.380902897668269e-05,553333333.3333338,-1.360274828736859e-07,-2.515757442393812e-07,553333333.3333338,0.005,0,553333333.3333338,6.28540306359771e-11,-2.070949752075891e-10
560000000.0000005,-7.466171639385924e-05,-1.207539111947649e-05,560000000.0000005,-1.417944194236613e-07,-2.420821137547094e-07,560000000.0000005,0.005,0,560000000.0000005,5.054280287987726e-11,-2.034308541099659e-10
566666666.6666671,-7.362064476254129e-05,-1.040481994152523e-05,566666666.6666671,-1.470531195644093e-07,-2.326912721363081e-07,566666666.6666671,0.005,0,566666666.6666671,3.896094049155258e-11,-1.992998923072607e-10
573333333.3333337,-7.257589705584443e-05,-8.795207282464836e-06,573333333.3333337,-1.518300709049513e-07,-2.234169335835396e-07,573333333.3333337,0.005,0,573333333.3333337,2.809282686304974e-11,-1.947665807778573e-10
580000000.0000004,-7.152876256840207e-05,-7.244510403012298e-06,580000000.0000004,-1.561507702195594e-07,-2.142710151358846e-07,580000000.0000004,0.005,0,580000000.0000004,1.792033013682065e-11,-1.898902816339091e-10
586666666.666667,-7.048043333986496e-05,-5.750750600389456e-06,586666666.666667,-1.600397182422123e-07,-2.052638005381067e-07,586666666.666667,0.005,0,586666666.666667,8.42328875591581e-12,-1.847254777698768e-10
593333333.3333336,-6.943201064366921e-05,-4.312011769680107e-06,593333333.3333336,-1.635204219842497e-07,-1.964040913543559e-07,593333333.3333336,0.005,0,593333333.3333336,-4.20059839192534e-13,-1.793220295833834e-10
600000000.0000002,-6.838451103783327e-05,-2.926438924033887e-06,600000000.0000002,-1.666154033215272e-07,-1.87699346118215e-07,600000000.0000002,0.005,0,600000000.0000002,-8.632702325951583e-12,-1.737254346053801e-10
606666666.6666669,-6.733887200919545e-05,-1.592236685668991e-06,606666666.6666669,-1.693462127618118e-07,-1.791558082894561e-07,606666666.6666669,0.005,0,606666666.6666669,-1.623851965953992e-11,-1.679770866402257e-10
613333333.3333335,-6.629595723938275e-05,-3.076677577294043e-07,613333333.3333335,-1.717334474415588e-07,-1.707786237642617e-07,613333333.3333335,0.005,0,613333333.3333335,-2.326199979295841e-11,-1.621145316640795e-10
620000000.0000001,-6.525656151948681e-05,9.289486146577703e-07,620000000.0000001,-1.737967725293615e-07,-1.625719486585644e-07,620000000.0000001,0.005,0,620000000.0000001,-2.972798876787406e-11,-1.561717182922626e-10
626666666.6666667,-6.422141533785149e-05,2.119238185974578e-06,626666666.6666667,-1.75554945322927e-07,-1.545390480537883e-07,626666666.6666667,0.005,0,626666666.6666667,-3.566147628649396e-11,-1.501792411050703e-10
633333333.3333334,-6.319118916384768e-05,3.264773248783848e-06,633333333.3333334,-1.770258414267241e-07,-1.466823863600731e-07,633333333.3333334,0.005,0,633333333.3333334,-4.108741217042089e-11,-1.441645755285117e-10
640000000,-6.216649744838567e-05,4.367074162732517e-06,640000000,-1.782264824816173e-07,-1.390037099202697e-07,640000000,0.005,0,640000000,-4.603055039604331e-11,-1.381523033102883e-10
646666666.6666666,-6.114790236110006e-05,5.427610870605957e-06,646666666.6666666,-1.791730649988865e-07,-1.315041224379534e-07,646666666.6666666,0.005,0,646666666.6666666,-5.051531767897573e-11,-1.321643279188607e-10
653333333.3333333,-6.01359172819412e-05,6.447804395912907e-06,653333333.3333333,-1.798809899107032e-07,-1.241841537873049e-07,653333333.3333333,0.005,0,653333333.3333333,-5.456570383676636e-11,-1.2622007943697e-10
659999999.9999999,-5.913101006401492e-05,7.429028320049216e-06,659999999.9999999,-1.803648925185143e-07,-1.170438227179041e-07,659999999.9999999,0.005,0,659999999.9999999,-5.82051714167586e-11,-1.203367087172942e-10
666666666.6666665,-5.813360608336303e-05,8.372610235361268e-06,666666666.6666665,-1.80638672559237e-07,-1.100826939422526e-07,666666666.6666665,0.005,0,666666666.6666665,-6.145658230175995e-11,-1.145292707308703e-10
673333333.3333331,-5.714409108978627e-05,9.279833171894611e-06,673333333.3333331,-1.807155241663382e-07,-1.032999300571608e-07,673333333.3333331,0.005,0,673333333.3333331,-6.434213923291352e-11,-1.088108971740462e-10
679999999.9999998,-5.616281387247091e-05,1.015193699649279e-05,679999999.9999998,-1.806079655339477e-07,-9.669433872008909e-08,679999999.9999998,0.005,0,679999999.9999998,-6.688334038880029e-11,-1.031929585018569e-10
686666666.6666664,-5.519008875242569e-05,1.099011978200411e-05,686666666.6666664,-1.803278681291463e-07,-9.026441547170908e-08,686666666.6666664,0.005,0,686666666.6666664,-6.910094534650802e-11,-9.768521564135619e-11
693333333.333333,-5.422619791384795e-05,1.179553914577009e-05,693333333.333333,-1.798864853264702e-07,-8.400838256898377e-08,693333333.333333,0.005,0,693333333.333333,-7.10149509261983e-11,-9.229596170204089e-11
699999999.9999996,-5.327139358441097e-05,1.256931355666199e-05,699999999.9999996,-1.792944803644855e-07,-7.792422416154439e-08,699999999.9999996,0.005,0,699999999.9999996,-7.264457557795788e-11,-8.703215404730041e-11
706666666.6666663,-5.232590007528309e-05,1.331252360937349e-05,706666666.6666663,-1.785619535448307e-07,-7.200971812698207e-08,706666666.6666663,0.005,0,706666666.6666663,-7.40082511131835e-11,-8.189953712844647e-11
