/net06 X,/net06 Y,/net09 X,/net09 Y,/net08 X,/net08 Y,/net07 X,/net07 Y,/vout X,/vout Y
5.102198124235928e-08,5,5.102198124235928e-08,4.890093788203601,5.102198124235928e-08,4.89009378820361,5.102198124235928e-08,4.890093788203606,5.102198124235928e-08,4.953550746110918
5.106062895604565e-08,5,5.106062895604565e-08,4.696855219771745,5.106062895604565e-08,4.696855219771753,5.106062895604565e-08,4.696855219771749,5.106062895604565e-08,4.869582527234273
5.109592608632733e-08,5,5.109592608632733e-08,4.520369568363346,5.109592608632733e-08,4.520369568363354,5.109592608632733e-08,4.520369568363351,5.109592608632733e-08,4.791548681935236
5.11613402290628e-08,5,5.11613402290628e-08,4.193298854685973,5.11613402290628e-08,4.193298854685981,5.11613402290628e-08,4.193298854685978,5.11613402290628e-08,4.646614032902737
5.124216499225554e-08,5,5.124216499225554e-08,3.789175038722296,5.124216499225554e-08,3.789175038722304,5.124216499225554e-08,3.7891750387223,5.124216499225554e-08,4.464333882750734
5.136384468136371e-08,5,5.136384468136371e-08,3.180776593181428,5.136384468136371e-08,3.180776593181436,5.136384468136371e-08,3.180776593181432,5.136384468136371e-08,4.185565104873347
5.155518250255059e-08,5,5.155518250255059e-08,2.224087487247038,5.155518250255059e-08,2.224087487247046,5.155518250255059e-08,2.224087487247042,5.155518250255059e-08,3.742670473650233
5.172118886705034e-08,5,5.172118886705034e-08,1.394055664748292,5.172118886705034e-08,1.394055664748301,5.172118886705034e-08,1.394055664748297,5.172118886705034e-08,3.357748356546236
5.186059443352517e-08,5,5.186059443352517e-08,0.6970278323741486,5.186059443352517e-08,0.6970278323741574,5.186059443352517e-08,0.697027832374153,5.186059443352517e-08,3.033562567940673
5.2e-08,5,5.2e-08,0,5.2e-08,1.332267629550188e-14,5.2e-08,8.881784197001252e-15,5.2e-08,2.709698253832982
5.203930945177549e-08,5,5.203930945177549e-08,0,5.203930945177549e-08,0,5.203930945177549e-08,0,5.203930945177549e-08,2.708098676522273
5.210588273257384e-08,5,5.210588273257384e-08,0,5.210588273257384e-08,0,5.210588273257384e-08,0,5.210588273257384e-08,2.708158767969722
5.216716639639599e-08,5,5.216716639639599e-08,0,5.216716639639599e-08,0,5.216716639639599e-08,0,5.216716639639599e-08,2.70814203699744
5.228211165974317e-08,5,5.228211165974317e-08,0,5.228211165974317e-08,0,5.228211165974317e-08,0,5.228211165974317e-08,2.708155646774644
5.242766567926281e-08,5,5.242766567926281e-08,0,5.242766567926281e-08,0,5.242766567926281e-08,0,5.242766567926281e-08,2.708145802526429
5.267216317579712e-08,5,5.267216317579712e-08,0,5.267216317579712e-08,0,5.267216317579712e-08,0,5.267216317579712e-08,2.708154947789929
5.307358284456098e-08,5,5.307358284456098e-08,0,5.307358284456098e-08,0,5.307358284456098e-08,0,5.307358284456098e-08,2.708145976629675
5.371572466020327e-08,5,5.371572466020327e-08,0,5.371572466020327e-08,0,5.371572466020327e-08,0,5.371572466020327e-08,2.708154886000158
5.480432649934792e-08,5,5.480432649934792e-08,0,5.480432649934792e-08,0,5.480432649934792e-08,0,5.480432649934792e-08,2.708145990066423
5.625e-08,5,5.625e-08,0,5.625e-08,0,5.625e-08,0,5.625e-08,2.708154893236668
5.660503434387341e-08,5,5.660503434387341e-08,0,5.660503434387341e-08,0,5.660503434387341e-08,1.775171719367082,5.660503434387341e-08,2.825820518710306
5.69275171719367e-08,5,5.69275171719367e-08,0,5.69275171719367e-08,0,5.69275171719367e-08,3.38758585968353,5.69275171719367e-08,2.932935106729859
5.725e-08,5,5.725e-08,0,5.725e-08,0,5.725e-08,5,5.725e-08,3.040046741655004
5.747330553427651e-08,5,5.747330553427651e-08,0,5.747330553427651e-08,0,5.747330553427651e-08,5,5.747330553427651e-08,3.04026128609263
5.773099146557714e-08,5,5.773099146557714e-08,0,5.773099146557714e-08,0,5.773099146557714e-08,5,5.773099146557714e-08,3.040249338593962
5.79822097656146e-08,5,5.79822097656146e-08,0,5.79822097656146e-08,0,5.79822097656146e-08,5,5.79822097656146e-08,3.040258169077427
5.848464636568954e-08,5,5.848464636568954e-08,0,5.848464636568954e-08,0,5.848464636568954e-08,5,5.848464636568954e-08,3.04024937789576
5.948951956583942e-08,5,5.948951956583942e-08,0,5.948951956583942e-08,0,5.948951956583942e-08,5,5.948951956583942e-08,3.040258186736475
6.099475978291971e-08,5,6.099475978291971e-08,0,6.099475978291971e-08,0,6.099475978291971e-08,5,6.099475978291971e-08,3.04024936629808
6.25e-08,5,6.25e-08,0,6.25e-08,0,6.25e-08,5,6.25e-08,3.040258198995316
6.275413741814438e-08,5,6.275413741814438e-08,0,6.275413741814438e-08,1.270687090721915,6.275413741814438e-08,5,6.275413741814438e-08,3.208618891973632
6.312706870907218e-08,5,6.312706870907218e-08,0,6.312706870907218e-08,3.135343545360914,6.312706870907218e-08,5,6.312706870907218e-08,3.456088544739245
6.349999999999999e-08,5,6.349999999999999e-08,0,6.349999999999999e-08,4.999999999999979,6.349999999999999e-08,5,6.349999999999999e-08,3.703239800058964
6.362252489476484e-08,5,6.362252489476484e-08,0,6.362252489476484e-08,5,6.362252489476484e-08,4.387375526175806,6.362252489476484e-08,3.663294773636596
6.379564560207823e-08,5,6.379564560207823e-08,0,6.379564560207823e-08,5,6.379564560207823e-08,3.521771989608857,6.379564560207823e-08,3.605977985992525
6.395448116005651e-08,5,6.395448116005651e-08,0,6.395448116005651e-08,5,6.395448116005651e-08,2.72759419971742,6.395448116005651e-08,3.55327683794296
6.427215227601309e-08,5,6.427215227601309e-08,0,6.427215227601309e-08,5,6.427215227601309e-08,1.139238619934547,6.427215227601309e-08,3.448031051576894
6.45e-08,5,6.45e-08,0,6.45e-08,5,6.45e-08,0,6.45e-08,3.372386765064524
6.46877242048784e-08,5,6.46877242048784e-08,0,6.46877242048784e-08,5,6.46877242048784e-08,0,6.46877242048784e-08,3.372224202614347
6.491010434557652e-08,5,6.491010434557652e-08,0,6.491010434557652e-08,5,6.491010434557652e-08,0,6.491010434557652e-08,3.372219228062666
6.512251120888348e-08,5,6.512251120888348e-08,0,6.512251120888348e-08,5,6.512251120888348e-08,0,6.512251120888348e-08,3.372211431140133
6.554732493549739e-08,5,6.554732493549739e-08,0,6.554732493549739e-08,5,6.554732493549739e-08,0,6.554732493549739e-08,3.372219393950884
6.639695238872522e-08,5,6.639695238872522e-08,0,6.639695238872522e-08,5,6.639695238872522e-08,0,6.639695238872522e-08,3.372211316858353
6.757347619436261e-08,5,6.757347619436261e-08,0,6.757347619436261e-08,5,6.757347619436261e-08,0,6.757347619436261e-08,3.372219460795949
6.875e-08,5,6.875e-08,0,6.875e-08,5,6.875e-08,6.617444900424221e-14,6.875e-08,3.372211264142019
6.908503866791444e-08,5,6.908503866791444e-08,0,6.908503866791444e-08,5,6.908503866791444e-08,1.675193339572192,6.908503866791444e-08,3.483122147667291
6.941751933395721e-08,5,6.941751933395721e-08,0,6.941751933395721e-08,5,6.941751933395721e-08,3.337596669786118,6.941751933395721e-08,3.593328524126393
6.975e-08,5,6.975e-08,0,6.975e-08,5,6.975e-08,5,6.975e-08,3.703442717304489
6.997685500915381e-08,5,6.997685500915381e-08,0,6.997685500915381e-08,5,6.997685500915381e-08,5,6.997685500915381e-08,3.703659895786402
7.023909193083739e-08,5,7.023909193083739e-08,0,7.023909193083739e-08,5,7.023909193083739e-08,5,7.023909193083739e-08,3.703678419859452
7.049433467784111e-08,5,7.049433467784111e-08,0,7.049433467784111e-08,5,7.049433467784111e-08,5,7.049433467784111e-08,3.70364016967293
7.100482017184855e-08,5,7.100482017184855e-08,0,7.100482017184855e-08,5,7.100482017184855e-08,5,7.100482017184855e-08,3.703679576384769
7.202579115986342e-08,5,7.202579115986342e-08,0,7.202579115986342e-08,5,7.202579115986342e-08,5,7.202579115986342e-08,3.703639636547037
7.351289557993172e-08,5,7.351289557993172e-08,0,7.351289557993172e-08,5,7.351289557993172e-08,5,7.351289557993172e-08,3.703679858133655
7.5e-08,5,7.5e-08,0,7.5e-08,5,7.5e-08,5,7.5e-08,3.703639442867538
7.514976714837422e-08,5,7.514976714837422e-08,0.7488357418710929,7.514976714837422e-08,5,7.514976714837422e-08,5,7.514976714837422e-08,3.901041903414003
7.542248504359272e-08,5,7.542248504359272e-08,2.112425217963619,7.542248504359272e-08,5,7.542248504359272e-08,5,7.542248504359272e-08,4.261114922408961
7.572739792000264e-08,5,7.572739792000264e-08,3.6369896000132,7.572739792000264e-08,5,7.572739792000264e-08,5,7.572739792000264e-08,4.656176904393137
7.599999999999999e-08,5,7.599999999999999e-08,4.999999999999979,7.599999999999999e-08,5,7.599999999999999e-08,5,7.599999999999999e-08,4.998594972007537
