FeaturesParamTransientACNNP.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.2213087) Y,2.498326e-01,8.873380e-12,-8.588401e-04,2.418668e-10,8.151598e-20
/out1 (OFF=0.2241611) Y,2.498389e-01,1.025931e-11,-9.408924e-04,2.559006e-10,8.684375e-20
/out1 (OFF=0.2270134) Y,2.498456e-01,1.186741e-11,-1.011953e-03,2.938732e-10,2.912411e-19
/out1 (OFF=0.2298658) Y,2.498528e-01,1.371812e-11,-1.088006e-03,2.417138e-10,7.923359e-20
/out1 (OFF=0.2327181) Y,2.498605e-01,1.584676e-11,-1.169380e-03,2.393304e-10,7.629888e-20
/out1 (OFF=0.2355705) Y,2.498689e-01,1.829368e-11,-1.256428e-03,2.585262e-10,8.830014e-20
/out1 (OFF=0.2384228) Y,2.498778e-01,2.110499e-11,-1.349513e-03,2.832543e-10,1.947702e-19
/out1 (OFF=0.2412752) Y,2.498874e-01,2.433376e-11,-1.446879e-03,1.392175e-09,2.031185e-16
/out1 (OFF=0.2441275) Y,2.498977e-01,2.803908e-11,-1.555566e-03,2.803300e-10,1.282593e-19
/out1 (OFF=0.2469799) Y,2.499088e-01,3.229112e-11,-1.668900e-03,4.750099e-10,9.621140e-18
/out1 (OFF=0.2498322) Y,2.499207e-01,3.716827e-11,-1.790752e-03,4.189692e-10,3.023194e-18
/out1 (OFF=0.2526846) Y,2.499334e-01,4.276104e-11,-1.920861e-03,3.588517e-10,1.585322e-18
/out1 (OFF=0.2555369) Y,2.499471e-01,4.917314e-11,-2.059815e-03,2.764213e-10,8.635396e-19
/out1 (OFF=0.2583893) Y,2.499617e-01,5.652358e-11,-2.208384e-03,4.227270e-10,3.504114e-18
/out1 (OFF=0.2612416) Y,2.499774e-01,6.498478e-11,-2.339008e-03,1.445448e-08,3.063025e-14
/out1 (OFF=0.264094) Y,2.499942e-01,7.487711e-11,-2.455996e-03,4.154046e-08,2.575223e-13
/out1 (OFF=0.2669463) Y,2.500123e-01,8.568035e-11,-2.716514e-03,1.705135e-09,2.998108e-16
/out1 (OFF=0.2697987) Y,2.500316e-01,9.837678e-11,-2.909665e-03,2.325296e-09,6.633810e-16
/out1 (OFF=0.272651) Y,2.500523e-01,1.129375e-10,-3.119861e-03,1.334535e-09,1.800509e-16
/out1 (OFF=0.2755034) Y,2.500745e-01,1.296447e-10,-3.344861e-03,2.547293e-10,9.088719e-20
/out1 (OFF=0.2783557) Y,2.500983e-01,1.488254e-10,-3.580455e-03,1.979379e-09,4.533469e-16
/out1 (OFF=0.2812081) Y,2.501238e-01,1.708543e-10,-3.839984e-03,8.072770e-10,5.021052e-17
/out1 (OFF=0.2840604) Y,2.501511e-01,1.961770e-10,-4.112567e-03,2.636960e-10,1.124411e-19
