FeaturesParamTransientACAPN.csv
Stage 1 Output
Signal, RMS, Variance, Slope, MAE, MSE
/out1 (OFF=0.3553691) Y,7.503513e-02,3.405865e-17,8.792564e-07,1.771677e-01,3.138842e-02
/out1 (OFF=0.3582215) Y,7.503513e-02,2.592361e-17,7.569831e-07,1.773727e-01,3.146107e-02
/out1 (OFF=0.3610738) Y,7.503513e-02,4.578184e-20,-6.287870e-08,1.775987e-01,3.154131e-02
/out1 (OFF=0.3639262) Y,7.503513e-02,3.107018e-17,8.290866e-07,1.778486e-01,3.163015e-02
/out1 (OFF=0.3667785) Y,7.503513e-02,3.099820e-17,8.251675e-07,1.781259e-01,3.172884e-02
/out1 (OFF=0.3696309) Y,7.503513e-02,2.609181e-17,7.482660e-07,1.784344e-01,3.183886e-02
/out1 (OFF=0.3724832) Y,7.503513e-02,3.092093e-17,8.179648e-07,1.787791e-01,3.196199e-02
/out1 (OFF=0.3753356) Y,7.503513e-02,3.101095e-17,8.160652e-07,1.791656e-01,3.210035e-02
/out1 (OFF=0.3781879) Y,7.503513e-02,2.288425e-17,6.864587e-07,1.796009e-01,3.225655e-02
/out1 (OFF=0.3810403) Y,7.503513e-02,3.102250e-17,8.094677e-07,1.800935e-01,3.243374e-02
/out1 (OFF=0.3838926) Y,7.503513e-02,3.080294e-17,8.027085e-07,1.806537e-01,3.263584e-02
