/out0 X,/out0 YRe,/out0 YReImag,/out1 X,/out1 YRe,/out1 YReImag,/Vin X,/Vin YRe,/Vin YReImag
853333333.3333321,0.0004889913193767866,0.0009426402836073499,853333333.3333321,-2.443418136406886e-07,-3.731110173440257e-07,853333333.3333321,0.025,0
859999999.9999987,0.0004957993432756146,0.0009142775243101888,859999999.9999987,-2.47369896156129e-07,-3.553159468392769e-07,859999999.9999987,0.025,0
866666666.6666653,0.0005018501006186836,0.0008865205005856851,866666666.6666653,-2.49789569733963e-07,-3.380630278268286e-07,866666666.6666653,0.025,0
873333333.3333319,0.0005071796357416598,0.0008593672920619749,873333333.3333319,-2.516407190180813e-07,-3.213482007385847e-07,873333333.3333319,0.025,0
879999999.9999986,0.0005118227168863032,0.0008328152176126246,879999999.9999986,-2.529613500865395e-07,-3.05166408524874e-07,879999999.9999986,0.025,0
886666666.6666652,0.0005158128657809779,0.0008068608947960483,886666666.6666652,-2.537876504099025e-07,-2.895117015036825e-07,886666666.6666652,0.025,0
893333333.3333318,0.0005191823875361633,0.0007815002961537426,893333333.3333318,-2.541540490012071e-07,-2.743773349245096e-07,893333333.3333318,0.025,0
899999999.9999985,0.0005219624007582145,0.0007567288024878057,899999999.9999985,-2.540932765115151e-07,-2.597558596366329e-07,899999999.9999985,0.025,0
906666666.6666651,0.0005241828677922484,0.0007325412532400182,906666666.6666651,-2.536364250483451e-07,-2.456392062455535e-07,906666666.6666651,0.025,0
913333333.3333317,0.0005258726250092129,0.0007089319940928899,913333333.3333317,-2.528130075238161e-07,-2.32018763117106e-07,913333333.3333317,0.025,0
919999999.9999983,0.0005270594130693002,0.0006858949219038586,919999999.9999983,-2.516510163615085e-07,-2.188854485838629e-07,919999999.9999983,0.025,0
926666666.666665,0.0005277699070885524,0.0006634235270893127,926666666.666665,-2.501769814133195e-07,-2.062297776843547e-07,926666666.666665,0.025,0
933333333.3333316,0.0005280297466455476,0.0006415109335663205,933333333.3333316,-2.484160269537787e-07,-1.940419237621642e-07,933333333.3333316,0.025,0
